Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol-1];Catalyst ID;Active Site Density [µmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gCH3OH gcat-1 hr-1];Temperature [K];Total Pressure [kPa];Inlet Inert Used;Inert, Inlet Mole fraction [%] ;CO, Inlet Mole fraction [%];CH4, Inlet Mole Fraction [%];Methanol, Inlet Mole fraction [%];Inlet P,Methanol [kPa];Inlet Inert Flow Rate [sccm];Total Inlet Flow Rate [mol/hr];Reactor Configuration;Reactor ID;Rate [μmol product gcat-1min-1];Confidence Interval for Rate [μmol gcat-1 min-1];STY [mol product mol active site-1 hr-1 ];Selectivity CO [%];Selectivity CH4 [%];Selectivity CO2 [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier;;;;;;;;;;;
MDH-0055;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;12;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;10.74;2.10;43.96;78;2;20;0.12;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0056;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;12;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;22.43;2.10;91.81;88;2;10;0.24;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0057;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;12;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;30.01;2.10;122.85;90;3;7;0.36;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0058;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;12;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;19.15;2.10;78.40;88;2;10;0.15;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0059;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;12;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;17.04;2.10;69.76;86;2;12;0.17;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0060;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;12;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;16.25;2.10;66.53;83;2;15;0.29;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0061;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;11;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;23.79;14.54;19.54;82;0;18;0.12;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0062;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;11;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;35.39;14.54;29.07;89;0;11;0.18;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0063;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;11;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;81.24;14.54;66.73;95;0;5;0.41;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0064;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;11;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;121.63;14.54;99.91;96;0;4;0.61;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0065;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;62.56;14.54;51.39;93;0;7;0.24;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0066;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;59.02;14.54;48.48;93;0;7;0.28;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0067;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;51.78;14.54;42.53;92;0;8;0.47;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0068;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;9;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;4.55;3.46;34.76;50;0;50;0.04;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0069;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;9;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;7.41;3.46;56.58;64;0;36;0.07;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0070;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;9;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;20.05;3.46;153.17;83;0;17;0.16;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0071;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;9;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;33.55;3.46;256.22;88;0;12;0.27;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0072;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;15.57;3.46;118.89;78;0;22;0.07;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0073;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;13.56;3.46;103.60;71;0;29;0.07;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0074;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;11;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;12.10;3.46;92.39;65;0;35;0.07;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0075;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;16;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;12.74;5.04;2.18;87;0;13;0.16;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0076;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;16;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;20.29;5.04;3.47;92;0;8;0.24;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0077;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;16;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;43.00;5.04;7.36;97;0;3;0.56;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0078;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;16;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;73.80;5.04;12.63;98;0;2;0.81;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0079;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;16;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;28.51;5.04;4.88;95;0;5;0.32;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0080;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;16;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;27.06;5.04;4.63;95;0;5;0.37;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0081;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;16;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;24.54;5.04;4.20;94;0;6;0.54;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0082;Nickel;Carbon;5.0;58.69;Cat_M_000014;1.7;0.2;CO dynamic chemisorption;106 - 250;16;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;1.31;0.54;45.96;93;0;7;0.02;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0083;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;99.10;0.00;0.00;0.90;0.91;NA;NA;Downflow, Packed Bed;PBR_000002;20.76;NA;92.60;92;8;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0084;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;98.76;0.14;0.00;1.10;1.11;NA;NA;Downflow, Packed Bed;PBR_000002;12.38;NA;55.20;93;7;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0085;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;98.85;0.00;0.25;0.90;0.91;NA;NA;Downflow, Packed Bed;PBR_000002;20.99;NA;93.60;90;10;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0086;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;90.30;0.00;0.00;9.70;9.83;NA;NA;Downflow, Packed Bed;PBR_000002;28.95;NA;129.10;93;7;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0087;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;89.39;0.01;0.00;10.60;10.74;NA;NA;Downflow, Packed Bed;PBR_000002;29.62;NA;132.10;91;9;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0088;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;89.68;0.02;0.00;10.30;10.44;NA;NA;Downflow, Packed Bed;PBR_000002;26.82;NA;119.60;92;8;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0089;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;89.46;0.14;0.00;10.40;10.54;NA;NA;Downflow, Packed Bed;PBR_000002;20.43;NA;91.10;92;8;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0090;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;88.94;0.00;0.36;10.70;10.84;NA;NA;Downflow, Packed Bed;PBR_000002;31.12;NA;138.80;90;10;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0091;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;99.10;0.00;0.00;0.90;0.91;NA;NA;Downflow, Packed Bed;PBR_000002;38.12;NA;170.00;92;8;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0092;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;98.98;0.12;0.00;0.90;0.91;NA;NA;Downflow, Packed Bed;PBR_000002;31.84;NA;142.00;93;7;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0093;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;98.61;0.00;0.49;0.90;0.91;NA;NA;Downflow, Packed Bed;PBR_000002;42.51;NA;189.60;91;9;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0094;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;89.80;0.00;0.00;10.20;10.34;NA;NA;Downflow, Packed Bed;PBR_000002;67.20;NA;299.70;93;7;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0095;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;89.47;0.13;0.00;10.40;10.54;NA;NA;Downflow, Packed Bed;PBR_000002;59.38;NA;264.80;93;7;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0096;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;88.43;0.00;0.77;10.80;10.94;NA;NA;Downflow, Packed Bed;PBR_000002;68.57;NA;305.80;91;9;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
