Unique Identifier,Metal,Support,Weight loading [%],Molecular Weight of Active component [g mol-1],Catalyst ID,Active Site Density [umol gcat-1],Dispersion [%],Method of determining Active Site Density,Pellet Diameter [µm],WHSV [g reactant gcat-1 hr-1],Temperature [K],Total Pressure [kPa],Inlet Inert Used,"Inert, Inlet Mole fraction [%]","CO, Inlet Mole fraction [%]","CH4, Inlet Mole Fraction [%]","Methanol, Inlet Mole fraction [%]","Inlet P, Methanol [kPa]",Inlet Inert Flow Rate [sccm],Total Inlet Flow Rate [mol/hr],Reactor Configuration,Reactor ID,Rate [umol gcat-1 min-1],Confidence Interval for Rate [μmol gcat-1 min-1],STY [mol product mol active site-1 hr-1 ],Selectivity CO [%],Selectivity CH4 [%],Selectivity CO2 [%],Conversion [%],Data Source,Data Submitted By,Funding Agency,Funding Identifier,Reaction,"Formic Acid, Inlet Mole fraction [%]","CO2, Inlet Mole fraction [%]","H2, Inlet Mole fraction [%]","H2O, Inlet Mole fraction [%]",STY [mol product mol active site-1 hr-1],STY [mol CO2 mol active site-1 s-1],STY [mol CO mol active site-1 s-1]
MDH-0013,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,12.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,127.14,23.25,73.43,96.0,0.0,4.0,1.46,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0014,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,6.86,1.92,7.62,98.0,0.0,2.0,0.3,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0015,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,10.51,1.92,11.67,99.0,0.0,1.0,0.54,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0016,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,24.91,1.92,27.66,99.0,0.0,1.0,1.29,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0017,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,35.64,1.92,39.58,99.0,0.0,1.0,1.6,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0018,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,21.65,1.92,24.04,99.0,0.0,1.0,0.87,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0019,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,19.19,1.92,21.31,99.0,0.0,1.0,0.94,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0020,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,473,102.73,Nitrogen,86.58,0.0,0.0,13.42,13.79,43.0,0.13,"Downflow, Packed Bed",PBR_000001,15.04,1.92,16.7,99.0,0.0,1.0,0.82,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0021,Palladium,Carbon,5.0,106.42,Cat_M_000005,54.0,11.5,CO dynamic chemisorption,106 - 250,9.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,14.69,1.92,16.31,99.0,0.0,1.0,1.1,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0022,Rhodium,Carbon,5.0,102.91,Cat_M_000007,290.1,59.7,CO dynamic chemisorption,106 - 250,12.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,25.08,5.04,5.19,95.0,0.0,5.0,0.4,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
