Unique Identifier,Metal,Support,Weight loading [%],Molecular Weight of Active component [g mol-1],Catalyst ID,Active Site Density [umol gcat-1],Dispersion [%],Method of determining Active Site Density,Pellet Diameter [µm],WHSV [g reactant gcat-1 hr-1],Temperature [K],Total Pressure [kPa],Inlet Inert Used,"Inert, Inlet Mole fraction [%]","CO, Inlet Mole fraction [%]","CH4, Inlet Mole Fraction [%]","Methanol, Inlet Mole fraction [%]","Inlet P, Methanol [kPa]",Inlet Inert Flow Rate [sccm],Total Inlet Flow Rate [mol/hr],Reactor Configuration,Reactor ID,Rate [umol gcat-1 min-1],Confidence Interval for Rate [μmol gcat-1 min-1],STY [mol product mol active site-1 hr-1 ],Selectivity CO [%],Selectivity CH4 [%],Selectivity CO2 [%],Conversion [%],Data Source,Data Submitted By,Funding Agency,Funding Identifier,Reaction,"Formic Acid, Inlet Mole fraction [%]","CO2, Inlet Mole fraction [%]","H2, Inlet Mole fraction [%]","H2O, Inlet Mole fraction [%]",STY [mol product mol active site-1 hr-1],STY [mol CO2 mol active site-1 s-1],STY [mol CO mol active site-1 s-1]
MDH-0023,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.44,0.21,3.85,64.0,0.0,36.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0024,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.26,0.21,2.29,54.0,0.0,46.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0025,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.33,0.21,2.9,60.0,0.0,40.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0026,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.55,0.21,4.82,70.0,0.0,30.0,0.02,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0027,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.69,0.21,6.04,74.0,0.0,26.0,0.02,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0028,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,0.24,0.21,2.14,67.0,0.0,33.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0029,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,0.32,0.21,2.78,68.0,0.0,32.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0030,Gold,Carbon,5.0,196.97,Cat_M_000008,6.9,2.7,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,0.58,0.21,5.09,67.0,0.0,33.0,0.04,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0031,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.28,0.09,0.32,57.0,0.0,43.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0032,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.17,0.09,0.19,39.0,0.0,61.0,0,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0033,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.2,0.09,0.24,45.0,0.0,55.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0034,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.36,0.09,0.42,62.0,0.0,38.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0035,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.46,0.09,0.54,68.0,0.0,32.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0036,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,0.16,0.09,0.18,51.0,0.0,49.0,0,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0037,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,0.2,0.09,0.23,51.0,0.0,49.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0038,Silver,Carbon,5.0,107.87,Cat_M_000009,51.5,11.1,Transmission Electron Microscopy,106 - 250,10.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,0.39,0.09,0.46,56.0,0.0,44.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0039,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,473,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.2,0.14,0.54,48.0,0.0,52.0,0,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0040,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.14,0.14,0.38,39.0,0.0,61.0,0,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0041,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.17,0.14,0.44,46.0,0.0,54.0,0,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0042,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.25,0.14,0.66,61.0,0.0,39.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0043,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,0.31,0.14,0.81,64.0,0.0,36.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0044,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,0.15,0.14,0.39,42.0,0.0,58.0,0,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0045,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,0.15,0.14,0.38,47.0,0.0,53.0,0,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0046,Copper,Carbon,5.0,63.55,Cat_M_000011,22.8,2.9,Transmission Electron Microscopy,106 - 250,11.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,0.29,0.14,0.75,51.0,0.0,49.0,0.01,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0047,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,11.0,453,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,59.75,23.25,34.51,94.0,0.0,6.0,0.6,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0048,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,11.0,463,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,88.3,23.25,50.99,95.0,0.0,5.0,0.9,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0049,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,11.0,483,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,183.61,23.25,106.04,97.0,0.0,3.0,1.8,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0050,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,11.0,493,102.73,Nitrogen,90.01,0.0,0.0,9.99,10.27,60.0,0.18,"Downflow, Packed Bed",PBR_000001,255.12,23.25,147.34,98.0,0.0,2.0,2.6,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0051,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,97.53,0.0,0.0,2.47,2.54,263.0,0.72,"Downflow, Packed Bed",PBR_000001,145.31,23.25,83.92,97.0,0.0,3.0,1.1,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0052,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,95.05,0.0,0.0,4.95,5.09,128.0,0.36,"Downflow, Packed Bed",PBR_000001,133.99,23.25,77.38,97.0,0.0,3.0,1.2,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
MDH-0053,Ruthenium,Carbon,5.0,101.07,Cat_M_000006,103.9,21.0,CO dynamic chemisorption,106 - 250,11.0,473,102.73,Nitrogen,80.2,0.0,0.0,19.8,20.34,27.0,0.09,"Downflow, Packed Bed",PBR_000001,127.14,23.25,73.43,95.0,0.0,5.0,1.9,Abdelrahman Catalysis Research Laboratory,0009-0004-1407-1640,Department of Energy,DE-SC0023464,Methanol Dehydrogenation,0.0,0.0,0.0,0.0,,,
