Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol⁻¹];Catalyst ID;Active Site Density [μmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gHCOOH gcat⁻¹ hr⁻¹];Temperature [K];Total Pressure [kPa];Inert Used;Formic Acid, Inlet Mol fraction [%];CO, Inlet Mol fraction [%];CO₂, Inlet Mol fraction [%];H₂, Inlet Mol fraction [%];H₂O, Inlet Mol fraction [%];Inert, Inlet Mol fraction [%];Reactor Configuration;Reactor ID;Rate [μmol gcat⁻¹ min⁻¹];STY [mol product mol active site⁻¹ hr⁻¹ ];STY [mol CO2 mol active site-1 s-1];STY [mol CO mol active site-1 s-1];Selectivity CO₂ [%];Selectivity CO [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier
FAD-0059;Gold;Silicon Carbide;1;196.97;Cat_M_000013;23.2;45.6;Transmission Electron Microscopy;NA;2.8;373;101.33;Helium;3;0;6;0;0;92;"Downflow; Packed Bed";PBR_000005;23.97;62.12;0.02;0;100;0;2.35;10.1002/aic.14401;0000-0002-9114-555X;Department of Energy;DE-AC02-06CH11357
FAD-0060;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;373;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;45.4;185.84;0.05;0.0036;93;7;1.8;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0061;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;373;117.9;Nitrogen;1.12;0;0;0;0;98.88;"Downflow; Packed Bed";PBR_000001;50;204.67;0.05;0.0034;94;6;4.5;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0062;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;373;117.9;Nitrogen;2.49;0;0;0;0;97.51;"Downflow; Packed Bed";PBR_000001;44.91;183.83;0.05;0.0031;94;6;1.8;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0063;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;373;117.9;Nitrogen;3.36;0;0;0;0;96.64;"Downflow; Packed Bed";PBR_000001;41.83;171.23;0.04;0.0033;93;7;1.2;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0064;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;358;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;13.46;55.1;0.01;0.0011;93;7;0.6;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0065;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;363;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;20.18;82.6;0.02;0.0016;93;7;0.9;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0066;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;368;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;30.43;124.56;0.03;0.0021;94;6;1.3;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0067;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;7.3;378;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;67.38;275.81;0.07;0.0046;94;6;2.96;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0068;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;2.3;373;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;17.3;70.82;0;0.0183;7;93;2.36;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0069;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;2.3;363;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;7.76;31.76;0;0.0082;7;93;1.06;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0070;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;2.3;368;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;11.62;47.57;0;0.0123;7;93;1.58;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0071;Platinum;Silica ;1;195.08;Cat_M_000001;14.7;30.1;CO Dynamic Chemisorption ;106-250;2.3;378;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;18.88;77.27;0;0.0197;8;92;3.95;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0072;Platinum;Carbon;5;195.08;Cat_M_000004;73;28.5;CO Dynamic Chemisorption ;106-250;7;373;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;160.5;131.84;0.04;0.0004;99;1;5;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0073;Platinum;Carbon;5;195.08;Cat_M_000004;73;28.5;CO Dynamic Chemisorption ;106-250;7;363;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;95.32;78.3;0.02;0.0004;98;2;2.75;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0074;Platinum;Carbon;5;195.08;Cat_M_000004;73;28.5;CO Dynamic Chemisorption ;106-250;7;368;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;119.58;98.22;0.03;0.0008;97;3;3.33;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0075;Platinum;Carbon;5;195.08;Cat_M_000004;73;28.5;CO Dynamic Chemisorption ;106-250;7;378;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;195.63;160.69;0.04;0.0009;98;2;5.64;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0076;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;7.2;373;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;13.5;119.82;0.03;0.0053;84;16;0.35;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0077;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;1.7;373;117.9;Nitrogen;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000001;6.82;60.53;0.01;0.0027;84;16;0.72;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0078;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;0.8;373;117.9;Nitrogen;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000001;6.27;55.61;0.01;0.0025;84;16;1.4;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0079;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;4;373;117.9;Nitrogen;2.47;0;0;0;0;97.53;"Downflow; Packed Bed";PBR_000001;9.29;82.44;0.02;0.0037;84;16;0.45;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0080;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;9.4;373;117.9;Nitrogen;1.98;0;0;0;0;98.02;"Downflow; Packed Bed";PBR_000001;13.87;123.1;0.03;0.0055;84;16;0.26;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0081;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;7.2;368;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;9.26;82.21;0.02;0.0039;83;17;0.21;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0082;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;7.2;378;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000001;15.6;138.47;0.03;0.0065;83;17;0.41;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0083;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;7.2;383;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000002;20.08;178.22;0.04;0.0084;83;17;0.44;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
FAD-0084;Platinum;Alumina;0.5;195.08;Cat_M_0000015;6.8;26.4;CO Dynamic Chemisorption ;106-250;7.2;388;117.9;Nitrogen;2.24;0;0;0;0;97.76;"Downflow; Packed Bed";PBR_000003;21.1;187.29;0.04;0.0088;83;17;0.61;Abdelrahman Catalysis Research Laboratory;0000-0003-0934-7628;University of Houston;-
