Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol⁻¹];Catalyst ID;Active Site Density [μmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gHCOOH gcat⁻¹ hr⁻¹];Temperature [K];Total Pressure [kPa];Inert Used;Formic Acid, Inlet Mol fraction [%];CO, Inlet Mol fraction [%];CO₂, Inlet Mol fraction [%];H₂, Inlet Mol fraction [%];H₂O, Inlet Mol fraction [%];Inert, Inlet Mol fraction [%];Reactor Configuration;Reactor ID;Rate [μmol gcat⁻¹ min⁻¹];STY [mol product mol active site⁻¹ hr⁻¹ ];STY [mol CO2 mol active site-1 s-1];STY [mol CO mol active site-1 s-1];Selectivity CO₂ [%];Selectivity CO [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier
FAD-0016;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0.04;0;0;0;97.35;"Downflow; Packed Bed";PBR_000003;23.99;54;0.02;-;N/A;N/A;0.86;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0017;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0.1;0;0;0;97.29;"Downflow; Packed Bed";PBR_000003;14.39;32.4;0.01;-;N/A;N/A;0.52;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0018;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0;0;0;0.03;97.36;"Downflow; Packed Bed";PBR_000003;240.5;541.37;0.15;0.0014;99.08;0.92;8.64;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0019;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0;0;0;0.04;97.35;"Downflow; Packed Bed";PBR_000003;245.22;551.99;0.15;0.0013;99.13;0.87;8.81;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0020;Platinum;Carbon;1;195.08;Cat_M_000010;26.7;52;Transmission Electron Microscopy;NA;7.7;373;101.33;Helium;2.61;0;0;0;0.1;97.29;"Downflow; Packed Bed";PBR_000003;240.6;541.58;0.15;0.0014;99.04;0.96;8.65;10.1021/acscatal.9b05424;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0021;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.5;353;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000004;127.62;181.08;0.05;0.0003;99.4;0.6;2.28;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0022;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.5;363;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000004;230.12;326.52;0.09;0.0007;99.23;0.77;4.1;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0023;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.5;373;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000004;408.98;580.32;0.16;0.0012;99.26;0.74;7.29;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0024;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.5;383;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000004;793.1;1125.36;0.31;0.0026;99.17;0.83;14.14;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0025;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;15.5;393;101.33;Helium;2.61;0;0;0;0;97.39;"Downflow; Packed Bed";PBR_000004;1484.97;2107.08;0.58;0.0053;99.09;0.91;26.48;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
FAD-0026;Palladium;Carbon;1;106.42;Cat_M_000012;42.3;45;Transmission Electron Microscopy;NA;7.8;373;101.33;Helium;1.31;0;0;0;0;98.69;"Downflow; Packed Bed";PBR_000004;434.35;616.32;0.17;0.0012;99.3;0.7;15.42;10.1021/acscatal.2c06078;0000-0002-9114-555X;Department of Energy;DE-FG02-05ER15731
